Tag Name,Sub Category
Marvel at the Northern Lights,bucketlist
Walk the Great Wall of China,bucketlist
See the Great Pyramids,bucketlist
Trek to Machu Picchu,bucketlist
Sail the Greek Isles,bucketlist
Attend the Olympics,bucketlist
Run the NYC Marathon,bucketlist
Speak Italian in Rome,bucketlist
Swim with Wild Dolphins,bucketlist
Ride a Camel in the Sahara,bucketlist
Hot Air Balloon over Cappadocia,bucketlist
Dance at Rio Carnival,bucketlist
See Cherry Blossoms in Japan,bucketlist
Dive the Great Barrier Reef,bucketlist
Climb Mount Kilimanjaro,bucketlist
Backpack Across Europe,bucketlist
Watch a Broadway Show,bucketlist
Skydive over the Swiss Alps,bucketlist
See the Sistine Chapel,bucketlist
Explore the Amazon Rainforest,bucketlist
Witness a Volcanic Eruption,bucketlist
Road Trip on Route 66,bucketlist
Visit All Seven Continents,bucketlist
Learn Tango in Buenos Aires,bucketlist
Whale Watching in Alaska,bucketlist
Tea Ceremony in Kyoto,bucketlist
See a Wimbledon Final,bucketlist
Hike the Appalachian Trail,bucketlist
Attend a Vienna Symphony,bucketlist
Explore Scottish Castles,bucketlist
Dance at a Full Moon Party,bucketlist
Sunset in Santorini,bucketlist
Safari in the Serengeti,bucketlist
Float in the Dead Sea,bucketlist
Camp in the Australian Outback,bucketlist
Surf in Hawaii,bucketlist
Visit Shakespeare's Birthplace,bucketlist
Party at Mardi Gras,bucketlist
Walk the Camino de Santiago,bucketlist
Snorkel in Iceland,bucketlist
Cook Paella in Valencia,bucketlist
Bungee Jump in New Zealand,bucketlist
Attend a TED Talk,bucketlist
Gondola Ride in Venice,bucketlist
See the Mona Lisa,bucketlist
Scuba Dive in Belize,bucketlist
Attend Cannes Film Festival,bucketlist
Ski in Aspen,bucketlist
Eiffel Tower at Night,bucketlist
Experience Holi in India,bucketlist
Deep-Sea Fishing in the Caribbean,bucketlist
Ride the Trans-Siberian Railway,bucketlist
Learn Salsa in Cuba,bucketlist
Sandboarding in Dubai,bucketlist
Walk Through Petra,bucketlist
Opera at La Scala,bucketlist
Sunrise at Angkor Wat,bucketlist
Comedy Show in LA,bucketlist
Cycle Bordeaux Vineyards,bucketlist
Selfie with Christ the Redeemer,bucketlist
Attend an eSports Tournament,bucketlist
Culinary Tour of Tuscany,bucketlist
Party in Ibiza,bucketlist
Ice Climbing in Norway,bucketlist
Watch Monaco Grand Prix,bucketlist
Jack the Ripper Tour in London,bucketlist
Motorcycle Through Vietnam,bucketlist
Swim at Marina Bay Sands,bucketlist
Sumo Wrestling in Tokyo,bucketlist
Explore the Galapagos Islands,bucketlist
Pint at an Irish Pub,bucketlist
White Water Rafting in Colorado,bucketlist
Aurora Borealis from Finland,bucketlist
Walk Through the Redwoods,bucketlist
Visit the Acropolis,bucketlist
Ghost Tour in Edinburgh,bucketlist
Fly Over Nazca Lines,bucketlist
Sunset in Oia,bucketlist
Explore Ancient Babylon,bucketlist
Attend a Broadway Show,bucketlist
Comic-Con in Cosplay,bucketlist
Dance at Tomorrowland,bucketlist
Cook with a Celebrity Chef,bucketlist
Yoga in Bali,bucketlist
Photography Course in Paris,bucketlist
Visit a TV Show Set,bucketlist
Join a Flash Mob,bucketlist
Digital Detox Retreat,bucketlist
Titanic Wreck by Submarine,bucketlist
Dog Sledding in Alaska,bucketlist
Attend the Super Bowl,bucketlist
Wine Tour in Napa Valley,bucketlist
See a Broadway Musical,bucketlist
Masquerade Ball in Venice,bucketlist
African Photo Safari,bucketlist
Ride an Elephant in Thailand,bucketlist
Climb Sydney Harbour Bridge,bucketlist
Live Podcast Recording,bucketlist
High Tea in London,bucketlist
Complete a Triathlon,bucketlist
Make Chocolate in Belgium,bucketlist
Helicopter Tour of the Grand Canyon,bucketlist
Travel the World on Sabbatical,bucketlist
Visit an Active Volcano,bucketlist
Cruise to Antarctica,bucketlist
See Tulip Fields in Netherlands,bucketlist
Front Row at a Fashion Show,bucketlist
Pilgrimage to Jerusalem,bucketlist
Attend a Royal Garden Party,bucketlist
See the Great Migration in Africa,bucketlist
Polar Bear Expedition in Canada,bucketlist
Ride the Orient Express,bucketlist
Zipline Through the Rainforest,bucketlist
Watch a Rocket Launch,bucketlist
Luxury Train Trip Across Canada,bucketlist
Visit the International Space Station in VR,bucketlist
Explore Caves in Vietnam,bucketlist
Concert in the Roman Colosseum,bucketlist
Attend Burning Man Festival,bucketlist
Paragliding in the Andes,bucketlist
See the Statue of Liberty by Boat,bucketlist
Live TV Show Filming,bucketlist
Arctic Cruise,bucketlist
Kabuki Performance in Japan,bucketlist
Ride in a Submarine,bucketlist
Saturday Night Live Taping,bucketlist
Visit the Louvre Museum,bucketlist
Swim in Every Ocean,bucketlist
Live Cooking Show Taping,bucketlist
Caving in New Zealand,bucketlist
Hollywood Walk of Fame,bucketlist
Amazon Riverboat Adventure,bucketlist
See the Mona Lisa Up Close,bucketlist
Jazz Concert in New Orleans,bucketlist
Helicopter Ride over Manhattan,bucketlist
Everest Base Camp Expedition,bucketlist
Attend Rio Carnival,bucketlist
Masterclass in Pottery,bucketlist
Spiritual Retreat in India,bucketlist
Venice Biennale,bucketlist
Kitesurfing in the Caribbean,bucketlist
See a Broadway Play,bucketlist
Visit Every U.S. National Park,bucketlist
Cooking Class in Morocco,bucketlist
Stargazing in the Atacama Desert,bucketlist
Hear the Dalai Lama Speak,bucketlist
Ride a Horse in the Kentucky Derby,bucketlist
Hike in the Himalayas,bucketlist
Attend a Hawaiian Luau,bucketlist
Great Barrier Reef by Submarine,bucketlist
Zipline Over Waterfalls,bucketlist
Experience Oktoberfest in Munich,bucketlist
Gorilla Trekking in Uganda,bucketlist
Learn Archery in Mongolia,bucketlist
Snorkel with Manta Rays,bucketlist
Hot Air Balloon Ride Over the Serengeti,bucketlist
Explore the Ice Caves in Iceland,bucketlist
Attend a Major Film Festival,bucketlist
